nct_id,brief_title,search_condition,conditions,sponsor,sponsor_class,enrollment_count,num_arms,total_sites,num_countries,start_date,completion_date,has_participant_flow,total_started,total_completed,total_discontinued,dropout_rate,discontinuation_reasons,top_dropout_reason,top_dropout_reason_count,num_periods
NCT01320722,Study of Vitamin D and Uric Acid Lowering on Kidney and Blood Vessel Function,obesity,Renal Function; Endothelial Function; Blood Pressure; Overweight; Obesity,Brigham and Women's Hospital,OTHER,242,5,1,1,2011-03,2015-06,True,242,204,38,15.7,Did not Receive Intervention (9); Adverse Event (9); Lost to Follow-up (5); Participant Developed a Rash (4); Not Compliant with Study Procedures (4); Not Available for the 8 Week Visit (3); Non-compliant with Medication (1); Pregnancy (1); Started an Exclusionary Medication (1); Withdrew due to Health Condition (1),Did not Receive Intervention,9.0,1
NCT01898923,Evaluate the Efficacy and Safety of ON101 Cream for the Treatment of Chronic Diabetic Foot Ulcers,cardiovascular disease,Diabetic Foot,"Oneness Biotech Co., Ltd.",INDUSTRY,236,2,21,3,2012-11-23,2020-05-11,True,236,199,37,15.7,Lack of Efficacy (11); Withdrawal by Subject (11); Physician Decision (7); Adverse Event (4); One of the subjects IS NO LONGER USING AQUACEL STANDARD OF CARE AND WAS REMOVED FROM THE STUDY (3); Lost to Follow-up (1),Lack of Efficacy,11.0,1
NCT02963922,Effect and Safety of Liraglutide 3.0 mg in Subjects With Overweight or Obesity and Type 2 Diabetes Mellitus Treated With Basal Insulin,diabetes type 2,Metabolism and Nutrition Disorder; Obesity,Novo Nordisk A/S,INDUSTRY,396,2,54,7,2017-02-06,2018-09-25,True,396,334,62,15.7,Other (22); Adverse Event (21); Protocol deviation (12); Lost to Follow-up (5); Lack of Efficacy (2),Other,22.0,1
NCT01814072,Opt-IN: Optimization of Remotely Delivered Intensive Lifestyle Treatment for Obesity,obesity,Weight Loss,Northwestern University,OTHER,562,32,1,1,2013-09,2017-09-20,True,562,474,88,15.7,Lost to Follow-up (62); Withdrawal by Subject (26),Lost to Follow-up,62.0,1
NCT00347360,The COREG And Lisinopril Combination Therapy In Hypertensive Subjects (COSMOS) Trial,cardiovascular disease,Hypertension,GlaxoSmithKline,INDUSTRY,654,2,151,1,2006-07,2008-04,True,654,551,103,15.7,"Adverse Event (28); Withdrawal by Subject (24); Protocol Violation (15); Lost to Follow-up (9); Lack of Efficacy (9); Subject did not meet end of study ABPM (4); Reason not listed/blank (3); Per sponsors instruction (1); P.I. recommended due to blood pressure (1); Abnormal lab values (1); PI recommended early withdrawal (1); Did not meet criteria before ABPM (1); Randomized in error (1); Failed inclusion criteria #4 (1); Prolonged duration between visits (1); Subject left town, ran out of study drug (1); Subject refuse to sign updated consent (1); Visits conflicted with new job (1)",Adverse Event,28.0,1
NCT00954447,Efficacy and Safety of Linagliptin in Combination With Insulin in Patients With Type 2 Diabetes,diabetes type 2,"Diabetes Mellitus, Type 2",Boehringer Ingelheim,INDUSTRY,1263,2,169,19,2009-08,,True,1261,1063,198,15.7,Adverse Event (58); Withdrawal by Subject (47); Other (39); Lost to Follow-up (22); Lack of Efficacy (20); Protocol Violation (12),Adverse Event,58.0,1
NCT04264819,Study of Brolucizumab in Adult Patients With Suboptimal Anatomically Controlled Neovascular Age-related Macular Degeneration,cardiovascular disease,Neovascular Age-Related Macular Degeneration,Novartis Pharmaceuticals,INDUSTRY,295,1,51,1,2020-12-14,2023-05-10,True,295,249,46,15.6,Physician Decision (19); Adverse Event (12); Withdrawal by Subject (11); Lost to Follow-up (2); Death (2),Physician Decision,19.0,1
NCT00252694,DIabetic Retinopathy Candesartan Trials,diabetes type 2,Type 2 Diabetes,AstraZeneca,INDUSTRY,4717,2,0,0,2001-08,2008-04,True,1905,1607,298,15.6,Withdrawal by Subject (174); Death (70); Patient Moving (33); Mostly Lost to Follow Up (21),Withdrawal by Subject,174.0,1
NCT00330876,Study of Pitavastatin in Elderly Patients With Primary Hypercholesterolemia or Combined Dyslipidemia,dyslipidemia,Hypercholesterolemia; Dyslipidemias,Kowa Research Europe,INDUSTRY,545,2,59,5,2006-06,2007-12,True,539,455,0,15.6,,,,1
NCT01128894,A Study to Determine the Efficacy and Safety of Albiglutide as Compared With Liraglutide.,diabetes type 2,"Diabetes Mellitus, Type 2",GlaxoSmithKline,INDUSTRY,841,2,173,8,2010-05,2011-09,True,812,686,126,15.5,Adverse Event (72); Withdrawal by Subject (22); Lost to Follow-up (16); Noncompliance (9); Protocol Violation (3); Physician Decision (3); Conflicting HbA1c Results at Screening (1),Adverse Event,72.0,1
NCT01307033,A Long-term Study of the Safety of MK-0954A in Patients With Essential Hypertension (MK-0954A-351),cardiovascular disease,Hypertension,Organon and Co,INDUSTRY,278,2,0,0,2011-03-29,2012-12-04,True,278,235,43,15.5,Potassium Withdrawal Criteria Met (22); Withdrawal by Subject (8); Adverse Event (5); Blood Pressure Withdrawal Criteria Met (5); Lack of Efficacy (1); Physician Decision (1); Death (1),Potassium Withdrawal Criteria Met,22.0,2
NCT01603615,BOTOX® Open-Label Treatment in Pediatric Upper Limb Spasticity,cardiovascular disease,Pediatrics; Muscle Spasticity; Cerebral Palsy; Stroke,Allergan,INDUSTRY,220,1,48,9,2012-10-30,2018-09-03,True,220,186,34,15.5,Personal Reasons (17); Lost to Follow-up (9); Did not Receive Treatment (7); Other Miscellaneous (1),Personal Reasons,17.0,1
NCT00809965,An Efficacy and Safety Study for Rivaroxaban in Patients With Acute Coronary Syndrome,cardiovascular disease,Acute Coronary Syndrome; Myocardial Infarction; Myocardial Ischemia; Unstable Angina,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",INDUSTRY,15526,3,556,43,2008-11,2011-09,True,15526,13124,2402,15.5,Withdrawal by Subject (1294); Death (537); Other Reason (526); Lost to Follow-up (45),Withdrawal by Subject,1294.0,1
NCT01299376,MK-0954E Phase III Long-Term Study in Participants With Hypertension (MK-0954E-356),cardiovascular disease,Hypertension,Merck Sharp & Dohme LLC,INDUSTRY,286,2,0,0,2011-01-24,2012-09-20,True,286,242,44,15.4,Blood Pressure/Potassium Criteria Met (24); Adverse Event (8); Withdrawal by Subject (5); Lost to Follow-up (4); Lack of Efficacy (1); Protocol Violation (1); Physician Decision (1),Blood Pressure/Potassium Criteria Met,24.0,2
NCT02324569,"A Phase 4, Randomized, Double-blind, Parallel-group, Comparative Study and a Phase 4, Open-label, Long-term Study of SYR-472 (100 mg) in Combination With Insulin in Patients With Type 2 Diabetes",diabetes type 2,Type 2 Diabetes Mellitus,Takeda,INDUSTRY,240,2,65,1,2014-12-27,2016-12-28,True,240,203,37,15.4,Pretreatment Event/Adverse Event (19); Voluntary Withdrawal (9); Lack of Efficacy (5); Change Insulin Dosage Exceeding Criteria (2); Inconvenient Schedule (2),Pretreatment Event/Adverse Event,19.0,1
NCT01920711,"Efficacy and Safety of LCZ696 Compared to Valsartan, on Morbidity and Mortality in Heart Failure Patients With Preserved Ejection Fraction",cardiovascular disease,Heart Failure With Preserved Ejection Fraction,Novartis Pharmaceuticals,INDUSTRY,4822,2,715,43,2014-07-18,2019-06-07,True,4822,4085,737,15.3,Death (703); Lost to Follow-up (27); Withdrawal by Subject (7),Death,703.0,1
NCT03451591,LACunar Intervention (LACI-2) Trial-2,cardiovascular disease,"Cerebral Small Vessel Diseases; Stroke, Lacunar",University of Edinburgh,OTHER,363,4,1,1,2018-01-08,2022-08-11,True,363,308,0,15.2,,,,3
NCT02513303,Trial to Evaluate the Sirolimus-Eluting Collagen Implant on AV Fistula Outcomes,cardiovascular disease,Complication of Renal Dialysis; End Stage Renal Disease; End Stage Kidney Disease; ESRD; Chronic Kidney Failure; Complication of Hemodialysis; Vascular Access Complication; Arteriovenous Fistula,"Vascular Therapies, Inc.",INDUSTRY,269,2,4,1,2015-11,2021-06,True,269,228,41,15.2,Withdrawal by Subject (18); Death (14); Lost to Follow-up (6); Physician Decision (2); Adverse Event (1),Withdrawal by Subject,18.0,1
NCT00649389,Safety and Efficacy Study of a Triple Combination Therapy in Subjects With Hypertension,cardiovascular disease,Hypertension,Daiichi Sankyo,INDUSTRY,2500,4,232,2,2008-05,2009-12,True,2492,2116,376,15.1,Adverse Event (154); Withdrawal by Subject (83); Lost to Follow-up (79); Protocol Violation (41); Other (19),Adverse Event,154.0,1
NCT00796367,A Safety and Efficacy Study of VI-0521 to Evaluate the Long Term Treatment of Obesity in Adults With Obesity-Related Co-Morbid Conditions. An Extension Study of Protocol OB-303 (NCT00553787),obesity,Obesity,VIVUS LLC,INDUSTRY,676,3,0,0,2008-12,2010-07,True,676,574,102,15.1,Withdrawal by Subject (32); Lost to Follow-up (30); Adverse Event (17); other (9); non compliance (5); Requirement for restricted medication (4); Lack of Efficacy (3); Pregnancy (2),Withdrawal by Subject,32.0,1
NCT00676338,"Safety and Efficacy of Exenatide Once Weekly Injection Versus Metformin, Dipeptidyl Peptidase-4 Inhibitor, or Thiazolidinedione as Monotherapy in Drug-Naive Patients With Type 2 Diabetes (DURATION-4)",diabetes type 2,Type 2 Diabetes Mellitus,AstraZeneca,INDUSTRY,820,4,106,22,2008-11,2011-01,True,820,696,124,15.1,Withdrawal by Subject (44); Protocol Violation (21); Adverse Event (18); Lack of Efficacy-Loss of Glucose Control (14); Lost to Follow-up (12); Physician Decision (11); Entry Criteria Not Met (4),Withdrawal by Subject,44.0,1
NCT05822830,A Study of Tirzepatide (LY3298176) in Participants With Obesity or Overweight With Weight Related Comorbidities,obesity,Obesity; Overweight,Eli Lilly and Company,INDUSTRY,751,2,32,2,2023-04-21,2024-11-13,True,751,638,113,15.0,Withdrawal by Subject (53); Lost to Follow-up (34); Adverse Event (12); Assigned Treatment by Mistake (8); Pregnancy (3); Non-Compliance With Study Drug (2); Participant was Out of the Country (1),Withdrawal by Subject,53.0,1
NCT01375647,Exploration of the Biologic Basis for Underperformance of Oral Polio and Rotavirus Vaccines in Bangladesh,metabolic syndrome,Rotavirus Diarrhea; Vaccine Virus Shedding; Tropical Enteropathy,University of Vermont,OTHER,700,4,1,1,2011-05,2014-11,True,700,595,105,15.0,Withdrawal by Subject (77); Lost to Follow-up (23); Death (4); Physician Decision (1),Withdrawal by Subject,77.0,1
NCT00494013,Comparison of Two Basal Insulins for Patients With Type 2 Diabetes (IOOY),diabetes type 2,Diabetes Mellitus Type 2,Eli Lilly and Company,INDUSTRY,442,2,56,9,2007-08,2008-09,True,442,376,66,14.9,Withdrawal by Subject (27); Protocol Violation (13); Lost to Follow-up (11); Physician Decision (8); Entry Criteria Not Met (5); Adverse Event (1); Sponsor Decision (1),Withdrawal by Subject,27.0,1
NCT00300469,Evaluate Safety and Efficacy of ABT-335 in Combination With Atorvastatin in Subjects With Multiple Abnormal Lipid Levels in the Blood,cardiovascular disease,Mixed Dyslipidemia; Coronary Heart Disease; Dyslipidemia,Abbott,INDUSTRY,613,6,1,1,2006-03,,True,609,518,0,14.9,,,,1
NCT00789191,Effect of Detemir and Sitagliptin on Blood Glucose Control in Type 2 Diabetes,diabetes type 2,"Diabetes; Diabetes Mellitus, Type 2",Novo Nordisk A/S,INDUSTRY,222,2,51,8,2008-11,2009-08,True,222,189,33,14.9,Protocol Violation (8); Unclassified (8); Adverse Event (6); Withdrawal Criteria (6); Lack of Efficacy (5),Protocol Violation,8.0,1
NCT00475852,A Study Testing the Effectiveness of Nesiritide in Patients With Acute Decompensated Heart Failure,cardiovascular disease,Heart Decompensation,"Scios, Inc.",INDUSTRY,7141,2,328,28,2007-05,2011-03,True,7141,6076,1065,14.9,Death (900); Lost to Follow-up (122); Withdrawal by Subject (43),Death,900.0,1
NCT02798471,Hokusai Study in Pediatric Patients With Confirmed Venous Thromboembolism (VTE),cardiovascular disease,Venous Thromboembolism (VTE); Pulmonary Embolism; Deep Vein Thrombosis (DVT),Daiichi Sankyo,INDUSTRY,290,2,140,34,2017-03-27,2022-05-24,True,290,247,43,14.8,"Physician Decision (10); Adverse Event (9); Other (8); Subject withdrew consent (6); Death (5); Data entry error (reported as study completion and study discontinuation) (2); Randomized, but not treated (2); Lost to Follow-up (1)",Physician Decision,10.0,1
NCT01652729,"Comparison Study of the Glycemic Effects, Safety, and Tolerability of Exenatide Once Weekly Suspension to Sitagliptin and Placebo in Subjects With Type 2 Diabetes Mellitus",diabetes type 2,Diabetes Type 2,AstraZeneca,INDUSTRY,365,3,60,1,2013-02,2014-04,True,365,311,54,14.8,Withdrawal by Subject (28); Lost to Follow-up (15); Adverse Event (7); Physician Decision (2); Protocol Violation (1); Administrative (1),Withdrawal by Subject,28.0,1
NCT01215253,Ranolazine Implantable Cardioverter-Defibrillator Trial,cardiovascular disease,Ischemic Cardiomyopathy; Nonischemic Cardiomyopathy; Heart Failure,University of Rochester,OTHER,1012,2,90,2,2011-09,2017-02-28,True,1012,863,149,14.7,Withdrawal by Subject (92); Other (26); Physician Decision (21); Lost to Follow-up (10),Withdrawal by Subject,92.0,1
NCT00487240,Comparison of Two Basal Insulin Therapies for Patients With Type 1 Diabetes,diabetes type 2,"Diabetes Mellitus, Type 1",Eli Lilly and Company,INDUSTRY,387,2,28,9,2007-06,2008-08,True,387,330,57,14.7,Withdrawal by Subject (18); Lost to Follow-up (13); Protocol Violation (10); Entry Criteria Not Met (7); Adverse Event (4); Sponsor Decision (3); Physician Decision (2),Withdrawal by Subject,18.0,1
NCT00082381,Effect of AC2993 Compared With Insulin Glargine in Patients With Type 2 Diabetes Also Using Combination Therapy With Sulfonylurea and Metformin,diabetes type 2,"Diabetes Mellitus, Type 2",AstraZeneca,INDUSTRY,551,2,91,13,2003-06,2008-07,True,551,470,81,14.7,Adverse Event (29); Protocol Violation (21); Lost to Follow-up (12); Patient Decision (12); Loss of Glucose Control (4); Physician Decision (3),Adverse Event,29.0,1
NCT00300456,Evaluate Safety and Efficacy of ABT-335 in Combination With Simvastatin in Subjects With Multiple Abnormal Lipid Levels in the Blood,cardiovascular disease,Dyslipidemia; Coronary Heart Disease; Mixed Dyslipidemia,Abbott,INDUSTRY,657,6,1,1,2006-03,,True,650,555,0,14.6,,,,1
NCT01472185,Ranolazine Monotherapy in Subjects With Type 2 Diabetes Mellitus,diabetes type 2,Type 2 Diabetes Mellitus,Gilead Sciences,INDUSTRY,465,2,159,10,2011-11,2013-10,True,465,397,68,14.6,Subject Noncompliance (23); Adverse Event Other than Hyperglycemia (13); Subject Withdrew Consent (9); Hyperglycemia (7); Protocol Violation (6); Lost to Follow-up (5); Investigator's Discretion (4); Randomized but Not Treated (1),Subject Noncompliance,23.0,1
NCT03859427,A Study Comparing Once-weekly vs Twice-weekly Carfilzomib in Combination With Lenalidomide and Dexamethasone in Subjects With Relapsed or Refractory Multiple Myeloma,cardiovascular disease,Relapsed or Refractory Multiple Myeloma,Amgen,INDUSTRY,454,2,108,17,2019-05-08,2023-03-31,True,454,388,66,14.5,Death (47); Withdrawal by Subject (11); Lost to Follow-up (5); Decision by sponsor (3),Death,47.0,1
NCT02414841,A Study of Vonapanitase (PRT-201) Administered Immediately After Radiocephalic Arteriovenous Fistula(AVF) Creation in Patients With Chronic Kidney Disease (CKD) (PATENCY-2),cardiovascular disease,Chronic Kidney Disease,Proteon Therapeutics,INDUSTRY,696,2,41,2,2015-08,2019-05-01,True,613,524,89,14.5,Death (31); Lost to Follow-up (19); Received a Kidney Transplant (17); Withdrawal by Subject (12); Randomized But Not Treated (10),Death,31.0,1
NCT05093933,A Study of Vericiguat (MK-1242) in Participants With Chronic Heart Failure With Reduced Ejection Fraction (HFrEF) (MK-1242-035),heart failure,Chronic Heart Failure With Reduced Ejection Fraction,Merck Sharp & Dohme LLC,INDUSTRY,6106,2,519,36,2021-11-02,2025-02-05,True,6105,5219,886,14.5,Death (806); Withdrawal by Subject (43); Lost to Follow-up (29); Sponsor Decision (4); Physician Decision (2); Withdrawal by Guardian (2),Death,806.0,1
NCT00032487,Glycemic Control and Complications in Diabetes Mellitus Type 2 (VADT),diabetes type 2,Type 2 Diabetes Mellitus,VA Office of Research and Development,FED,1791,2,21,2,2000-12-01,2008-05-30,True,1791,1532,259,14.5,Lost to Follow-up (115); Withdrawal by Subject (110); Had other reason (24); Adverse Event (10),Lost to Follow-up,115.0,1
NCT02235909,An Efficacy and Safety Study in Children 6 to Less Than 18 Years of Age With Hypertension,cardiovascular disease,Hypertension,"Arbor Pharmaceuticals, Inc.",INDUSTRY,377,13,69,12,2015-03-30,2019-11-11,True,215,184,0,14.4,,,,3
NCT01524289,Study to Assess the Tolerability and Efficacy of Anacetrapib (MK-0859) Co-Administered With Statin in Participants With Heterozygous Familial Hypercholesterolemia (MK-0859-020),dyslipidemia,"Hyperlipoproteinemia Type II; Hypercholesterolemia, Familial",Merck Sharp & Dohme LLC,INDUSTRY,306,2,0,0,2012-02-03,2018-11-13,True,306,262,44,14.4,Withdrawal by Subject (18); Adverse Event (17); Protocol Violation (6); Lost to Follow-up (1); Physician Decision (1); Did not take study medication (1),Withdrawal by Subject,18.0,1
NCT00266695,Treatment for Completers of the Study B7A-MC-MBCM,cardiovascular disease,Diabetic Retinopathy,"Chromaderm, Inc.",INDUSTRY,203,1,29,1,2006-01,2008-08,True,203,174,29,14.3,Withdrawal by Subject (15); Death (9); Lost to Follow-up (3); Adverse Event (1); Physician Decision (1),Withdrawal by Subject,15.0,1
NCT02833948,"Comparison of a Rivaroxaban-based Strategy With an Antiplatelet-based Strategy Following Successful TAVR for the Prevention of Leaflet Thickening and Reduced Leaflet Motion as Evaluated by Four-dimensional, Volume-rendered Computed Tomography (4DCT)",cardiovascular disease,Aortic Valve Stenosis; Cardiovascular Diseases; Heart Valve Diseases; Ventricular Outflow Obstruction; Thrombosis,ECRI bv,INDUSTRY,231,2,25,7,2016-05,2019-03-06,True,231,198,33,14.3,were not scanned (21); scans could not be evaluated (7); Death (5),were not scanned,21.0,1
NCT02918279,Effect of Liraglutide for Weight Management in Pubertal Adolescent Subjects With Obesity,obesity,Metabolism and Nutrition Disorder; Obesity,Novo Nordisk A/S,INDUSTRY,251,2,33,5,2016-09-29,2019-08-08,True,251,215,36,14.3,Withdrawal by Subject (20); Lost to Follow-up (9); Other (4); Withdrawal by parent/guardian (3),Withdrawal by Subject,20.0,1
NCT00847626,Efficacy and Safety of Azilsartan Medoxomil Combined With Chlorthalidone in Participants With Moderate to Severe Hypertension,cardiovascular disease,Hypertension,Takeda,INDUSTRY,1711,11,99,5,2009-01,2010-07,True,1715,1470,245,14.3,Adverse Event (103); Withdrawal by Subject (65); Lack of Efficacy (28); Other (25); Protocol Violation (12); Lost to Follow-up (12),Adverse Event,103.0,1
NCT00397631,Initial Combination With Pioglitazone Study (0431-064),diabetes type 2,Type 2 Diabetes Mellitus,Merck Sharp & Dohme LLC,INDUSTRY,520,2,0,0,2006-12-19,2008-06-28,True,520,446,74,14.2,Withdrawal by Subject (21); Lack of Efficacy (17); Lost to Follow-up (17); Adverse Event (11); protocol discontinuation criteria (5); Physician Decision (2); Protocol Violation (1),Withdrawal by Subject,21.0,1
NCT02110901,A Study of PRT-201 Administered Immediately After Radiocephalic Arteriovenous Fistula(AVF) Creation in Patients With Chronic Kidney Disease (CKD) (PATENCY-1),cardiovascular disease,Chronic Kidney Disease,Proteon Therapeutics,INDUSTRY,349,2,35,1,2014-07,2018-12,True,311,267,44,14.1,Lost to Follow-up (20); Withdrawal by Subject (10); Death (9); received a kidney transplant (5),Lost to Follow-up,20.0,1
NCT01729871,A Study Exploring Two Treatment Strategies in Patients With Atrial Fibrillation Who Undergo Catheter Ablation Therapy,cardiovascular disease,Atrial Fibrillation,"Janssen Scientific Affairs, LLC",INDUSTRY,253,2,44,5,2013-02,2014-10,True,248,213,35,14.1,Adverse Event (14); Other (13); Withdrawal by Subject (3); Physician Decision (2); Death (1); Lack of Efficacy (1); Protocol Violation (1),Adverse Event,14.0,1
NCT01535261,Ranibizumab Intravitreal Injections in Patients With Visual Impairment Due to Macular Edema Secondary to Central Retinal Vein Occlusion,cardiovascular disease,Macular Edema; Central Retinal Vein Occlusion,Novartis Pharmaceuticals,INDUSTRY,357,1,78,18,2012-02,2015-03,True,357,307,50,14.0,Withdrawal by Subject (14); Adverse Event (12); Physician Decision (8); Lost to Follow-up (8); Death (5); Protocol Violation (3),Withdrawal by Subject,14.0,1
NCT01003184,Efficacy of Once-Weekly Exenatide Versus Once or Twice Daily Insulin Detemir in Patients With Type 2 Diabetes,diabetes type 2,Type 2 Diabetes Mellitus,AstraZeneca,INDUSTRY,222,2,34,2,2009-10,2011-12,True,222,191,31,14.0,Adverse Event (17); Withdrawal by Subject (7); Protocol Violation (3); Loss of glucose control (2); Lost to Follow-up (1); Physician Decision (1),Adverse Event,17.0,1
NCT01680341,Comparison of the Efficacy and Safety of Two Different Dose Adjustment Regimens for Insulin Degludec/Insulin Aspart in Subjects With Type 2 Diabetes Mellitus Previously Treated With Insulin Glargine,diabetes type 2,"Diabetes; Diabetes Mellitus, Type 2",Novo Nordisk A/S,INDUSTRY,272,2,45,5,2012-08-31,2013-08-22,True,272,234,38,14.0,Unclassified (33); Adverse Event (5),Unclassified,33.0,1
NCT02440022,Study Comparing Lutonix AV Drug Coated Balloon vs Standard Balloon for Treatment of Dysfunctional AV Fistulae,cardiovascular disease,Arteriovenous Fistula,C. R. Bard,INDUSTRY,285,2,23,1,2015-06,2018-06,True,285,245,0,14.0,,,,1
NCT01009580,Comparison of NN5401 With Biphasic Insulin Aspart 30 in Type 2 Diabetes,diabetes type 2,"Diabetes; Diabetes Mellitus, Type 2",Novo Nordisk A/S,INDUSTRY,447,2,53,10,2009-11-05,2010-08-23,True,447,385,62,13.9,Unclassified (38); Withdrawal Criteria (10); Adverse Event (8); Protocol Violation (5); Lack of Efficacy (1),Unclassified,38.0,1
NCT02229227,Safety and Efficacy of Albiglutide + Insulin Glargine Versus Insulin Lispro + Insulin Glargine Subjects With Type 2 Diabetes Mellitus,diabetes type 2,"Diabetes Mellitus, Type 2",GlaxoSmithKline,INDUSTRY,814,2,157,14,2014-11-21,2017-07-24,True,814,701,113,13.9,Adverse Event (23); Study terminated by sponsor (22); Withdrawal by Subject (20); Physician Decision (17); Protocol Violation (14); Lack of Efficacy (6); Lost to Follow-up (6); Protocol defined stopping criteria (4); Other (1),Adverse Event,23.0,1
NCT03683030,Safety and Effectiveness Evaluation of the Multi-Electrode Radiofrequency Balloon Catheter for the Treatment of Symptomatic Paroxysmal Atrial Fibrillation,cardiovascular disease,Atrial Fibrillation,"Biosense Webster, Inc.",INDUSTRY,397,1,41,3,2018-10-22,2022-02-18,True,397,342,55,13.9,Enrolled but no catheter inserted (24); Enrolled but screen failures (19); Lost to Follow-up (6); Withdrawal by Subject (2); Death (2); Early termination by subject (1); Catheter inserted but did not undergo ablation (1),Enrolled but no catheter inserted,24.0,1
NCT01582854,Efficacy and Safety of Actovegin in Post-stroke Cognitive Impairment (PSCI),cardiovascular disease,Post-Stroke Cognitive Impairment (PSCI),Takeda,INDUSTRY,503,2,14,3,2012-06,2014-11,True,503,433,70,13.9,Recurrent Stroke (21); Withdrawal by Participant (19); Death (13); Adverse Event (5); Disallowed Concomitant Medication (5); Lost to Follow-up (3); Physician Decision (1); Carotid or Neurosurgery (1); General Anaesthesia (1); Other Miscellaneous Reason (1),Recurrent Stroke,21.0,1
NCT00570739,"Effects of Metformin Hydrochloride (HCl) in Combination With Colesevelam HCl, Compared to Metformin HCl Alone, in Patients With Type 2 Diabetes Mellitus and the Effects of Colesevelam HCl on Lipids and Glucose on Pre-diabetic Patients.",diabetes type 2,Type 2 Diabetes Mellitus; Hypercholesterolemia; Pre-diabetes,Daiichi Sankyo,INDUSTRY,502,4,31,4,2007-11,2009-05,True,502,432,70,13.9,Withdrawal by Subject (22); Adverse Event (18); Lost to Follow-up (14); Other (10); Met discontinuation criteria (3); Physician Decision (2); Required restricted medication (1),Withdrawal by Subject,22.0,1
NCT01306214,Safety and Efficacy of BI 10773 as add-on to Insulin Regimen in Patients With Type 2 Diabetes Mellitus,diabetes type 2,"Diabetes Mellitus, Type 2; Obesity",Boehringer Ingelheim,INDUSTRY,566,3,103,14,2011-02,2013-04,True,566,488,78,13.8,Withdrawal by Subject (62); Lost to Follow-up (12); Not treated (3); Death (1),Withdrawal by Subject,62.0,1
NCT01310777,Brinzolamide/Brimonidine Twice a Day (BID) Fixed Combination (FC) vs Brinzolamide BID and Brimonidine BID in Patients With Open Angle Glaucoma or Ocular Hypertension,hypertension,Open-Angle Glaucoma; Ocular Hypertension,Alcon Research,INDUSTRY,771,3,0,0,2011-05,2013-01,True,560,483,77,13.8,Adverse Event (39); Inadequate Control of IOP (22); Other (7); Lost to Follow-up (5); Patient's Decision Unrelated to AE (4),Adverse Event,39.0,1
NCT01045447,"Comparison of NN5401 With Insulin Glargine, Both in Combination With Oral Antidiabetic Drugs, in Subjects With Type 2 Diabetes",diabetes type 2,"Diabetes; Diabetes Mellitus, Type 2",Novo Nordisk A/S,INDUSTRY,465,2,65,9,2010-01,2010-10,True,465,401,64,13.8,Unclassified (30); Withdrawal Criteria (20); Protocol Violation (9); Lack of Efficacy (4); Adverse Event (1),Unclassified,30.0,1
NCT02064439,Reduced-dosed Rivaroxaban in the Long-term Prevention of Recurrent Symptomatic VTE(Venous Thromboembolism),cardiovascular disease,Pulmonary Embolism; Thromboembolism; Thrombosis; Venous Thrombosis; Venous Thromboembolism,Bayer,INDUSTRY,3365,3,266,31,2014-03-05,2016-11-04,True,3365,2902,463,13.8,Adverse Event (144); Efficacy outcome reached (91); Withdrawal by Subject (73); Non-compliance with study medication (63); Safety outcome reached (42); Logistical difficulties (13); Protocol Violation (11); Other (11); Lost to Follow-up (8); Death (5); Physician Decision (2),Adverse Event,144.0,1
NCT02161562,OPTIMA: Efficacy of Optimized Re-treatment and Step-up Therapy With Omalizumab in Chronic Spontaneous Urticaria (CSU) Patients,cardiovascular disease,Chronic Spontaneous Urticaria,Novartis Pharmaceuticals,INDUSTRY,314,2,35,8,2014-08-01,2016-11-03,True,314,271,43,13.7,Withdrawal by Subject (13); Protocol Violation (13); Lack of Efficacy (5); Lost to Follow-up (4); Pregnancy (3); Adverse Event (2); Participant moved back to home country (1); Withdrew due to being out of the country (1); Participant moved out of province (1),Withdrawal by Subject,13.0,1
NCT00276380,A Study on the Use of Tanakan® for Recovery of Neurological Impairment Following Ischaemic Stroke,cardiovascular disease,"Stroke, Acute; Neurological Impairment",Ipsen,INDUSTRY,204,2,10,4,2003-02,2009-03,True,204,176,28,13.7,Withdrawal by Subject (9); Adverse Event (8); Death (8); Lost to Follow-up (2); Abnormal aPPT Levels (1),Withdrawal by Subject,9.0,1
NCT00395746,Effect of Liraglutide in Combination With Sulfonylurea (SU) on Blood Glucose Control in Subjects With Type 2 Diabetes,diabetes type 2,"Diabetes; Diabetes Mellitus, Type 2",Novo Nordisk A/S,INDUSTRY,264,4,1,1,2006-10,2008-05,True,264,228,36,13.6,Lack of Efficacy (19); Adverse Event (9); Hypoglycaemia (3); Protocol Violation (1); Subject decision (1); Withdrawal of consent (1); Difficultulty in use of device (1); Unable to visit site on schedule (1),Lack of Efficacy,19.0,1
NCT00360334,A Study Comparing Exenatide With Basal Insulin in Achieving a Target HbA1c With Minimum Weight Gain in Type 2 Diabetes Patients,diabetes type 2,Type 2 Diabetes,AstraZeneca,INDUSTRY,235,2,31,1,2006-06,2008-04,True,235,203,32,13.6,Adverse Event (11); Subject decision (10); Physician Decision (5); Entry criterion not met (3); Protocol Violation (2); Lack of Efficacy (1),Adverse Event,11.0,1
