feature,importance,feature_group
cat__reason_Poor compliance/Non-compliance,0.0,categorical
cat__reason_Moved to survival status follow-up only,0.0,categorical
cat__reason_Moved out of the country,0.0,categorical
cat__reason_Moved out of the area,0.0,categorical
cat__reason_Moved out of position,0.0,categorical
cat__reason_Moved out of country,0.0,categorical
cat__reason_Moved out of area,0.0,categorical
cat__reason_Moved,0.0,categorical
cat__reason_Move,0.0,categorical
cat__reason_Mostly Lost to Follow Up,0.0,categorical
cat__reason_Morbidity or Mortality primary endpoint,0.0,categorical
cat__reason_Missing/incomplete data,0.0,categorical
cat__reason_Missing study completion information,0.0,categorical
cat__reason_No longer eligible,0.0,categorical
cat__reason_No longer able to take medicines,0.0,categorical
cat__reason_No follow-up data,0.0,categorical
cat__reason_Poor compliance to study protocol,0.0,categorical
cat__reason_Poor compliance,0.0,categorical
cat__reason_Poor Therapeutic Response,0.0,categorical
cat__reason_Poor Glycemic Control,0.0,categorical
"cat__reason_Platelet Count <50,000/mL",0.0,categorical
cat__reason_Planned major surgery,0.0,categorical
cat__reason_Physician's decision,0.0,categorical
cat__reason_Physician decision: No 30-day visit,0.0,categorical
cat__reason_Principle Investigator Decision,0.0,categorical
cat__reason_Principal Investigator Discretion,0.0,categorical
cat__reason_Primary Care Physician Recommendation,0.0,categorical
cat__reason_Potential lost to follow-up,0.0,categorical
cat__reason_Poor/non-compliance,0.0,categorical
cat__reason_Poor/Non-compliance,0.0,categorical
cat__reason_Poor/Non-Compliance,0.0,categorical
cat__reason_Poor or noncompliance,0.0,categorical
cat__reason_Poor or non-compliance,0.0,categorical
cat__reason_Protocol Specific Criteria,0.0,categorical
cat__reason_Protocol Required Discontinuation,0.0,categorical
cat__reason_Protocol Non-compliance,0.0,categorical
cat__reason_Missing data needed for endpt analyses,0.0,categorical
cat__reason_Missing data for participant,0.0,categorical
cat__reason_Missing Primary Outcome,0.0,categorical
cat__reason_Missing Follow-up Status,0.0,categorical
cat__reason_Missing Cooperation,0.0,categorical
cat__reason_Missing Completion Status,0.0,categorical
cat__reason_Missing Active Treatment Status,0.0,categorical
cat__reason_Missed study visits,0.0,categorical
cat__reason_Natural Disaster,0.0,categorical
cat__reason_Mutual consent,0.0,categorical
cat__reason_Protocol Driven Decision Point,0.0,categorical
cat__reason_Protocol Amendment,0.0,categorical
cat__reason_Prolonged duration between visits,0.0,categorical
cat__reason_Prohibited glucose lowering medication,0.0,categorical
cat__reason_Prohibited antiarrhythmic medication,0.0,categorical
cat__reason_Prohibited Concomitant Medication Use,0.0,categorical
cat__reason_Progression of Disease,0.0,categorical
cat__reason_Product quality complaint,0.0,categorical
cat__reason_Procedure Cancelled,0.0,categorical
cat__reason_Psychiatric disorder,0.0,categorical
cat__reason_Provided in CRF for specific reasons,0.0,categorical
cat__reason_Protocol-specified Criteria,0.0,categorical
cat__reason_Protocol-Specific lab discon criteria,0.0,categorical
cat__reason_Protocol-Specific discontinuation,0.0,categorical
cat__reason_Protocol-Spec lab discon criteria,0.0,categorical
cat__reason_Protocol specified discontinuation,0.0,categorical
cat__reason_Protocol required discontinuation,0.0,categorical
cat__reason_Protocol defined stopping criteria,0.0,categorical
"cat__reason_Randomization Criterion #1; 1 Wk After 3 Patiromer Packets/Day, sK+ >5.0 Meq/L",0.0,categorical
cat__reason_Randomization Criterion #1,0.0,categorical
"cat__reason_Randomization Criteria #3, #4; 2 Wks After Taking Min 0 Packet/Day, sK+ Is < 4.0 Meq/L",0.0,categorical
"cat__reason_Randomization Criteria #3, #4",0.0,categorical
"cat__reason_Randomization Criteria #2, #4",0.0,categorical
"cat__reason_Randomization Criteria #2, #3, #4",0.0,categorical
"cat__reason_Randomization Criteria #2, #3",0.0,categorical
"cat__reason_Randomization Criteria #1, #4; 1 Wk After 3 Patiromer Packets/Day, sK+ >5.0 Meq/L",0.0,categorical
"cat__reason_Randomization Criteria #1, #4",0.0,categorical
"cat__reason_Randomization Criteria #1, #3",0.0,categorical
"cat__reason_Randomization Criteria #1, #2 #4; AE; 1 Wk After 3 Patiromer Packets/Day, sK+ >5.0 Meq/L",0.0,categorical
"cat__reason_Randomization Criteria #1, #2",0.0,categorical
"cat__reason_Randomization Crit #1, #4; Withdraw By Subject; 1 Wk After 3 Patiromer Packets/Day, sK+ >5.0 Meq/L",0.0,categorical
cat__reason_Randomised more than once,0.0,categorical
cat__reason_Ran out of IP and decided to discontinue,0.0,categorical
cat__reason_Randomized but Never Received Study Drug,0.0,categorical
cat__reason_Randomized and not treated,0.0,categorical
cat__reason_Randomized Not Treated,0.0,categorical
cat__reason_Randomization error,0.0,categorical
cat__reason_Randomization Criterion #4; AE,0.0,categorical
"cat__reason_Randomization Criterion #4; 2 Wks After Taking Min 0 Packet/Day, sK+ Is < 4.0 Meq/L",0.0,categorical
"cat__reason_Randomization Criterion #4; 1 Wk After 3 Patiromer Packets/Day, sK+ >5.0 Meq/L",0.0,categorical
cat__reason_Randomization Criterion #4,0.0,categorical
cat__reason_Randomization Criterion #3; Physician Decision,0.0,categorical
cat__reason_Randomization Criterion #3; Exceeded 12 Weeks Of Run In,0.0,categorical
"cat__reason_Randomization Criterion #3; 1 Wk After 3 Patiromer Packets/Day, sK+ >5.0 Meq/L",0.0,categorical
cat__reason_Randomization Criterion #3,0.0,categorical
cat__reason_Randomization Criterion #2,0.0,categorical
"cat__reason_Randomization Criterion #1; AE; 1 Wk After 3 Patiromer Packets/Day, sK+ >5.0 Meq/L",0.0,categorical
cat__reason_Randomization Criterion #1; AE,0.0,categorical
cat__reason_Re-transplant,0.0,categorical
"cat__reason_Re-randomized in part 3, however no drug dispensed",0.0,categorical
cat__reason_Randomized; did not receive intevention,0.0,categorical
"cat__reason_Randomized, not Treated",0.0,categorical
"cat__reason_Randomized, but not treated",0.0,categorical
cat__reason_Randomized in error,0.0,categorical
cat__reason_Randomized in Error,0.0,categorical
cat__reason_Randomized but not exposed,0.0,categorical
cat__reason_Randomized but not dosed,0.0,categorical
cat__reason_Randomized but never treated,0.0,categorical
cat__reason_Randomized but Not Treated,0.0,categorical
cat__reason_Randomized but Not Dosed,0.0,categorical
cat__reason_Reason unspecified,0.0,categorical
cat__reason_Reason unknown,0.0,categorical
cat__reason_Missed Visit - No Phone Contact,0.0,categorical
cat__reason_Missed Visit,0.0,categorical
cat__reason_Missed 12-month visit,0.0,categorical
cat__reason_Missed 12-Month Visit,0.0,categorical
cat__reason_Misrandomized,0.0,categorical
cat__reason_Miscellaneous Reason,0.0,categorical
cat__reason_Mis-randomized (one mis-randomized patient in the Ramipril group also died),0.0,categorical
"cat__reason_Minor bleeding (e.g.,bruising,epistaxis)",0.0,categorical
cat__reason_Minor bleeding,0.0,categorical
cat__reason_Metformin dose haven't decreasd to 2.5 g,0.0,categorical
cat__reason_Met safety criteria for discontinuation,0.0,categorical
cat__reason_Missing reason,0.0,categorical
cat__reason_Reason not reported,0.0,categorical
cat__reason_Reason not provided,0.0,categorical
cat__reason_Reason not listed/blank,0.0,categorical
cat__reason_Reason not given,0.0,categorical
cat__reason_Reason missing,0.0,categorical
cat__reason_Reason Unspecified,0.0,categorical
cat__reason_Reason Unknown,0.0,categorical
cat__reason_Related to Autoinjector Administration,0.0,categorical
cat__reason_Relapse,0.0,categorical
cat__reason_Refused to continue trial medication,0.0,categorical
cat__reason_Refused hospitalization,0.0,categorical
cat__reason_Refused Treatment,0.0,categorical
cat__reason_Refused,0.0,categorical
cat__reason_Recurrent Stroke,0.0,categorical
cat__reason_Recovery,0.0,categorical
cat__reason_Recommendation of Primary Care Physician,0.0,categorical
cat__reason_Received a Kidney Transplant,0.0,categorical
cat__reason_Received Rescue Therapy,0.0,categorical
cat__reason_Run-in failure,0.0,categorical
cat__reason_Run in failure,0.0,categorical
cat__reason_Risk of heart failure,0.0,categorical
cat__reason_Revoked Consent Prior To Procedure,0.0,categorical
cat__reason_Requirement for alternative therapy,0.0,categorical
cat__reason_Requirement for Excluded Medications,0.0,categorical
cat__reason_Required restricted medication,0.0,categorical
cat__reason_Required dialysis,0.0,categorical
cat__reason_Relocation to other city,0.0,categorical
cat__reason_Relocated to Another Country,0.0,categorical
cat__reason_Relocated Out of State,0.0,categorical
cat__reason_Serious Noncompliance,0.0,categorical
cat__reason_Selection criteria finally not met,0.0,categorical
cat__reason_Met blood pressure goal,0.0,categorical
cat__reason_Met Withdrawal Criteria,0.0,categorical
cat__reason_Met Protocol-Defined Stopping Critera,0.0,categorical
cat__reason_Medical reasons by Sponsor,0.0,categorical
cat__reason_Medical history of anemia,0.0,categorical
cat__reason_Medical condition changed,0.0,categorical
cat__reason_Medical advice,0.0,categorical
cat__reason_Maximum clinical benefit,0.0,categorical
cat__reason_Major/minor bleed,0.0,categorical
cat__reason_Machine Failure,0.0,categorical
cat__reason_MRA unsuccessful,0.0,categorical
cat__reason_Missed measurement,0.0,categorical
cat__reason_Missed Visit - Phone Contact f/u,0.0,categorical
cat__reason_Missed Visit - Phone Contact Follow-up,0.0,categorical
cat__reason_Screening failures,0.0,categorical
cat__reason_Screen failure or other uncategorised,0.0,categorical
cat__reason_Screen Failures,0.0,categorical
cat__reason_Screen Failure,0.0,categorical
cat__reason_Schedule Conflict,0.0,categorical
cat__reason_Safety outcome reached,0.0,categorical
cat__reason_Safety concern as judged by the investigator,0.0,categorical
cat__reason_Safety concern as judged by investigator,0.0,categorical
cat__reason_Safety,0.0,categorical
cat__reason_SOURCE DOCUMENT/COORDINATOR MISSING,0.0,categorical
cat__reason_Site Closed by Investigator,0.0,categorical
cat__reason_Site Closed and Subject Withdrew Consent,0.0,categorical
cat__reason_Site Closed Study,0.0,categorical
cat__reason_Site Closed,0.0,categorical
cat__reason_Site 212 removal,0.0,categorical
cat__reason_Significant thrombocytopenia,0.0,categorical
cat__reason_Severe or Repeated Hypoglycaemia,0.0,categorical
cat__reason_Severe non-compliance to the protocol,0.0,categorical
cat__reason_Severe hypoglycaemic episode,0.0,categorical
cat__reason_Severe allergic reaction,0.0,categorical
cat__reason_Serum Potassium Withdrawal Criteria Met,0.0,categorical
cat__reason_Serious haemorrhagic Adverse Event,0.0,categorical
cat__reason_Site cover and participant was not willing to be transferred,0.0,categorical
cat__reason_Site closure:Final VS not available (NA),0.0,categorical
cat__reason_Site closed by investigator,0.0,categorical
cat__reason_Site closed,0.0,categorical
cat__reason_Site Terminated by Sponsor,0.0,categorical
cat__reason_Site Discontinued Study Participation,0.0,categorical
cat__reason_Site Closure/Site Withdrawal,0.0,categorical
cat__reason_Site Closure for Noncompliance,0.0,categorical
cat__reason_Site Closure (Status Unknown),0.0,categorical
cat__reason_Site Closure (Status Alive),0.0,categorical
cat__reason_Site Closing and Withdrew Consent,0.0,categorical
cat__reason_Sponsor's Administrative Decision,0.0,categorical
cat__reason_Sponsor request,0.0,categorical
cat__reason_Sponsor or IRB Decision,0.0,categorical
cat__reason_LostToFollowUpfor3P-MACE(StatusAlive),0.0,categorical
cat__reason_Lost to follow-up for other reasons,0.0,categorical
cat__reason_Lost to Follow-up for Morbidity,0.0,categorical
cat__reason_Lost to FU for 3PMACE:Final VS available,0.0,categorical
cat__reason_Lost to FU for 3P-MACE:Final VS NA,0.0,categorical
cat__reason_Loss of trust,0.0,categorical
cat__reason_Loss of Glucose Control,0.0,categorical
cat__reason_Met protocol-defined stopping criteria,0.0,categorical
"cat__reason_Met inclusion/exclusion, not treated",0.0,categorical
cat__reason_Sponsor discontinued subject or study,0.0,categorical
"cat__reason_Sponsor Termination of Study, etc.",0.0,categorical
cat__reason_Sponsor Request,0.0,categorical
cat__reason_Sponsor Decision on Blinding,0.0,categorical
cat__reason_Site terminated by sponsor,0.0,categorical
cat__reason_Site terminated by Sponsor,0.0,categorical
cat__reason_Site terminated,0.0,categorical
cat__reason_Site prematurely closed by sponsor,0.0,categorical
cat__reason_Study Medication Not Tapered,0.0,categorical
cat__reason_Study Closure,0.0,categorical
cat__reason_Study Close Out,0.0,categorical
cat__reason_Stopped taking study drug,0.0,categorical
cat__reason_Stopped Study Medication,0.0,categorical
cat__reason_Stopped Investigational product (IP) due to an AE in Australia,0.0,categorical
cat__reason_Stop due to diverse problems,0.0,categorical
cat__reason_Started an Exclusionary Medication,0.0,categorical
cat__reason_Start of New Chemotherapy Regimen,0.0,categorical
cat__reason_Spouse underwent surgery and participant was unable to take IP regularly,0.0,categorical
cat__reason_Spontaneous abortion (<20 weeks),0.0,categorical
cat__reason_Sponsor's Decision to End the Study,0.0,categorical
cat__reason_Sponsor's Decision,0.0,categorical
cat__reason_Limited follow-up agreed,0.0,categorical
cat__reason_Less than full participation,0.0,categorical
cat__reason_Less than 6 months on study drug,0.0,categorical
"cat__reason_Late syphilis, latent",0.0,categorical
cat__reason_Last visit outside protocol visit window,0.0,categorical
cat__reason_Lack of treatment efficacy,0.0,categorical
cat__reason_Lack of time,0.0,categorical
cat__reason_Lack of therapeutic effect,0.0,categorical
cat__reason_Lack of efficacy on rescue therapy,0.0,categorical
cat__reason_Lung transplant,0.0,categorical
cat__reason_Low haemoglobin on screening,0.0,categorical
cat__reason_Low Creatinine Clearance,0.0,categorical
cat__reason_Study site excluded from analysis,0.0,categorical
cat__reason_Study ended treatment not available,0.0,categorical
"cat__reason_Study drug stopped, reason missing",0.0,categorical
cat__reason_Study device could not be deployed,0.0,categorical
"cat__reason_Study criteria,compliance,safety, other",0.0,categorical
cat__reason_Study Terminated by Sponsor or Investigator,0.0,categorical
cat__reason_Study Terminated By Sponsor,0.0,categorical
cat__reason_Subject Non-Compliance,0.0,categorical
cat__reason_Subject Moving out of State,0.0,categorical
cat__reason_Subject Moved out of Town,0.0,categorical
cat__reason_Subject Moved,0.0,categorical
cat__reason_Subject Missed the Schedule,0.0,categorical
cat__reason_Subject Migrated to Other Country,0.0,categorical
cat__reason_Subject Left Site Location,0.0,categorical
cat__reason_Subject Defaulted,0.0,categorical
cat__reason_Subject Decision,0.0,categorical
cat__reason_Study-specific discontinuation criteria,0.0,categorical
cat__reason_Study-Specific Withdrawal Criteria,0.0,categorical
cat__reason_Study terminated by Sponsor,0.0,categorical
cat__reason_Subject missed V6.2,0.0,categorical
cat__reason_Subject meets glycemic withdrawal crit.,0.0,categorical
"cat__reason_Subject left town, ran out of study drug",0.0,categorical
cat__reason_Lack of Eligibility,0.0,categorical
cat__reason_Lack of Efficacy-Sub-Reason Exacerbation,0.0,categorical
cat__reason_Lack of Efficacy-No Sub-Reason,0.0,categorical
cat__reason_Lack of Compliance,0.0,categorical
cat__reason_Laboratory adverse event,0.0,categorical
cat__reason_Loss Glucose Control,0.0,categorical
cat__reason_Logistical error study assessments,0.0,categorical
cat__reason_Logistical difficulties,0.0,categorical
cat__reason_Subject decision (vital stat: dead),0.0,categorical
cat__reason_Subject decision (vital stat: alive),0.0,categorical
cat__reason_Subject Withdrawn from Follow-up,0.0,categorical
cat__reason_Subject Required long-term Initiation of Rescue Antihyperglycemic Medication,0.0,categorical
cat__reason_Subject Request To Discontinue Treatment,0.0,categorical
cat__reason_Subject Noncompliance,0.0,categorical
cat__reason_Subject Non-compliance,0.0,categorical
cat__reason_Subject's no longer requires study drug,0.0,categorical
cat__reason_Subject withdrawn-Other,0.0,categorical
cat__reason_Subject withdrawal reason not collected,0.0,categorical
cat__reason_Subject refuse to sign updated consent,0.0,categorical
cat__reason_Subject off study medication,0.0,categorical
cat__reason_Subject non-compliant,0.0,categorical
cat__reason_Subject non-compliance,0.0,categorical
cat__reason_Subject no longer requires study drug,0.0,categorical
cat__reason_Subject moved out of town,0.0,categorical
cat__reason_Subject moved out of state,0.0,categorical
cat__reason_Subject moved,0.0,categorical
cat__reason_Surgery/ procedure,0.0,categorical
cat__reason_Surgery on the Target Limb,0.0,categorical
cat__reason_Surgery / procedure,0.0,categorical
cat__reason_Surgery,0.0,categorical
cat__reason_Supine Hypertension,0.0,categorical
cat__reason_Suicide,0.0,categorical
cat__reason_Subsequent Ineligibility,0.0,categorical
cat__reason_Subjects not reporting status,0.0,categorical
cat__reason_Subjects Without Post-Baseline Assessmen,0.0,categorical
cat__reason_Subjects Did Not Receive Study Drug,0.0,categorical
cat__reason_Subjects Did Not Complete Week 12,0.0,categorical
cat__reason_Subject/guardian Decision,0.0,categorical
cat__reason_Subject/Guardian decision,0.0,categorical
num__evidence_quality,0.0,numeric
cat__reason_Termination of Study by Sponsor,0.0,categorical
cat__reason_Termination of Site by Sponsor,0.0,categorical
cat__reason_Terminated by Sponsor,0.0,categorical
cat__reason_Tendency to low blood glucose levels,0.0,categorical
cat__reason_Technical reason,0.0,categorical
cat__reason_Technical Problems,0.0,categorical
cat__reason_Technical Problem,0.0,categorical
cat__reason_Target dose not tolerated,0.0,categorical
"cat__reason_1 Wk After 3 Patiromer Packets/Day, sK+ >5.0 Meq/L",0.0,categorical
cat__reason_THE SUBJECT MOVED TO ANOTHER PROVINCE,0.0,categorical
cat__reason_Symptomatic hypotension,0.0,categorical
cat__reason_Switching to other therapy,0.0,categorical
cat__reason_Switch to commercial drug,0.0,categorical
cat__reason_Surgery/Medical Procedure,0.0,categorical
cat__reason_Transferred to palliative care,0.0,categorical
cat__reason_Transferred to hospital closer to home,0.0,categorical
cat__reason_Transferred to another hospital to continue,0.0,categorical
cat__reason_Transferred into RevAssist Program,0.0,categorical
cat__reason_Toxicity,0.0,categorical
cat__reason_Too busy,0.0,categorical
cat__reason_Thromboembolic/outcome event,0.0,categorical
cat__reason_Thromboembolic / outcome event,0.0,categorical
cat__reason_Therapeutic failure/ lack of efficacy,0.0,categorical
"cat__reason_2 Wks After Taking Min 0 Packet/Day, sK+ Is < 4.0 Meq/L",0.0,categorical
cat__reason_The participant quit treatment and study due to their schedule and the final V801 was done remotely,0.0,categorical
cat__reason_The contrast was not seen,0.0,categorical
cat__reason_The blood pressure goal was met,0.0,categorical
cat__reason_The Patient Moved to Another City,0.0,categorical
cat__reason_Triglycerides >800 mg/dL,0.0,categorical
cat__reason_Triglycerides >2000 mg/dL,0.0,categorical
cat__reason_Trial disease worsening,0.0,categorical
cat__reason_Kidney [transplant],0.0,categorical
cat__reason_Issues With Performing Invasive Coronary Angiography (ICA),0.0,categorical
cat__arm_id_FG028,0.0,categorical
cat__arm_id_FG027,0.0,categorical
cat__reason_Investigator's Decision,0.0,categorical
cat__reason_Investigator site closed,0.0,categorical
cat__reason_Investigator removed subject,0.0,categorical
cat__reason_Investigator refused to log temperature,0.0,categorical
cat__reason_Investigator judgement,0.0,categorical
cat__reason_Lack of Trial Compliance,0.0,categorical
cat__reason_Lack of Study Medication Compliance,0.0,categorical
cat__reason_Lack of Response in OL period,0.0,categorical
cat__reason_Trial Terminated ( Site Closed),0.0,categorical
cat__reason_Treatment failure,0.0,categorical
cat__reason_Treatment extension study,0.0,categorical
cat__reason_Treatment discontinuation,0.0,categorical
cat__reason_Treatment Interruption,0.0,categorical
cat__reason_Treatment Failure,0.0,categorical
cat__reason_Treatment Complications,0.0,categorical
cat__reason_Treated but excluded at 1 trial site,0.0,categorical
cat__reason_Transplant planned,0.0,categorical
cat__reason_Transplant,0.0,categorical
cat__reason_Transition to Commercial Treatment,0.0,categorical
cat__reason_Uncontactable by phone,0.0,categorical
cat__reason_Unconfirmed disease progression per investigator,0.0,categorical
cat__reason_Unclassifiable Response,0.0,categorical
cat__reason_Unblinded medication,0.0,categorical
cat__reason_Unable to visit site on schedule,0.0,categorical
cat__reason_Unable to re-enter US,0.0,categorical
cat__reason_Unable to dose reduce per protocol,0.0,categorical
cat__reason_Unable to continue treatment,0.0,categorical
cat__reason_Unable to attend visit,0.0,categorical
cat__reason_Unable to Complete Follow-up,0.0,categorical
cat__reason_Two or more reasons for discontinuation,0.0,categorical
cat__reason_Two consecutive LDL-C <15 mg/dL,0.0,categorical
cat__reason_Various reasons,0.0,categorical
cat__reason_Various,0.0,categorical
cat__reason_Uspecified,0.0,categorical
cat__reason_Used Other Antihypertensive Drug,0.0,categorical
cat__arm_id_FG026,0.0,categorical
cat__reason_Use of Prohibited Medication,0.0,categorical
cat__reason_Use of Excluded Medications,0.0,categorical
cat__reason_Use of Excluded Medication,0.0,categorical
cat__reason_Unsatisfactory Therapeutic Effect,0.0,categorical
cat__reason_Unknown; Reason Not Provided,0.0,categorical
cat__reason_Unknown reasons,0.0,categorical
cat__reason_Unknown reason,0.0,categorical
cat__reason_Underwent aortic root surgery,0.0,categorical
cat__reason_Undefined,0.0,categorical
cat__reason_Withdrawal by Participant,0.0,categorical
cat__reason_Withdrawal by PI for ICA not performed,0.0,categorical
cat__reason_Investigator Not at Site,0.0,categorical
cat__reason_Investigator Discretion,0.0,categorical
cat__reason_Investigator Closed Study at Site,0.0,categorical
cat__reason_Investigational Medicinal Product (IMP) Supply Issues,0.0,categorical
cat__arm_id_FG031,0.0,categorical
cat__reason_Intro of New Anti-Diabetic Medication,0.0,categorical
cat__reason_Intervention by primary care physician,0.0,categorical
cat__reason_Interpretation Failure,0.0,categorical
cat__reason_Intercurrent illness,0.0,categorical
cat__reason_Intercurrent Illness/Medical Condition,0.0,categorical
cat__reason_Lab Abnormality or Adverse Event (AE),0.0,categorical
cat__reason_LDL below 2.59 mmol/L,0.0,categorical
cat__reason_Withdrawal Of Consent,0.0,categorical
cat__reason_Withdrawal By Subject; Withdrawal Of Consent,0.0,categorical
cat__reason_Withdraw of consent on day of random,0.0,categorical
cat__reason_Week 30 not completed due to circumstances surrounding the COVID-19 pandemic,0.0,categorical
cat__reason_Vital Status unknown at study end,0.0,categorical
cat__reason_Vital Status known (alive) at study end,0.0,categorical
cat__reason_Vital Status at study end N/A,0.0,categorical
cat__reason_Visits conflicted with new job,0.0,categorical
cat__reason_Visit Not Performed,0.0,categorical
cat__reason_Violation of Selection Criteria at Entry,0.0,categorical
cat__reason_Withdrawal of Informed Consent,0.0,categorical
cat__reason_Withdrawal of Consent by Subject,0.0,categorical
cat__reason_Withdrawal due to adverse event,0.0,categorical
cat__reason_Withdrawal by proxy/legal representative,0.0,categorical
cat__reason_Withdrawal by patient,0.0,categorical
cat__reason_Withdrawal by participant,0.0,categorical
cat__reason_Withdrawal by Subject and Other,0.0,categorical
cat__reason_Withdrawal by Patient,0.0,categorical
cat__reason_Withdrawal by Participants,0.0,categorical
cat__reason_Withdrawn investigational product,0.0,categorical
cat__reason_Withdrawn from Treatment,0.0,categorical
cat__reason_Withdrawn from Follow-up Participation,0.0,categorical
cat__reason_Withdrawn consent,0.0,categorical
cat__reason_Withdrawn by sponsor's decision,0.0,categorical
cat__reason_Withdrawn by parent/guardian,0.0,categorical
cat__reason_Withdrawn by Sponsor,0.0,categorical
cat__reason_Withdrawn by Mistake,0.0,categorical
cat__reason_Withdrawn before randomisation,0.0,categorical
cat__reason_Withdrawn at Investigator's discretion,0.0,categorical
cat__reason_Withdrawn - does not allow contact,0.0,categorical
cat__reason_Withdrawn,0.0,categorical
cat__reason_Withdrawel criteria,0.0,categorical
cat__reason_Withdrawals between 6 and 24 months,0.0,categorical
cat__reason_clinical progression,0.0,categorical
cat__reason_administrative,0.0,categorical
cat__reason_Worsening serum lipid levels,0.0,categorical
cat__reason_Worsening of liver function,0.0,categorical
cat__reason_Work commitment,0.0,categorical
cat__reason_Wk 16 Efficacy and BP Criteria,0.0,categorical
cat__reason_Withrawal of the consent by the subject,0.0,categorical
cat__reason_Withdrew; No Record on Termination Page,0.0,categorical
cat__reason_Withdrew prior to treatment,0.0,categorical
cat__reason_Withdrew informed consent,0.0,categorical
cat__reason_Withdrew due to being out of the country,0.0,categorical
cat__reason_Withdrew due to Health Condition,0.0,categorical
cat__reason_Withdrew consent prior to randomization,0.0,categorical
cat__reason_lack of efficacy and subject compliance,0.0,categorical
cat__reason_laboratory reporting error,0.0,categorical
cat__reason_issue with vitals prior to dosing,0.0,categorical
cat__reason_investigator/subject decide not continue,0.0,categorical
cat__reason_in prison,0.0,categorical
cat__reason_hyperglycemia that met protocol-specifie,0.0,categorical
cat__reason_hCG positive (not pregnant),0.0,categorical
cat__reason_entry criteria not met,0.0,categorical
cat__reason_discontinue study treatment,0.0,categorical
"cat__reason_did not meet criteria, non-compliance",0.0,categorical
cat__reason_did not finish experimental regimen,0.0,categorical
"cat__reason_concomitant medication,etc.",0.0,categorical
cat__reason_patient intolerance to rescue therapy,0.0,categorical
cat__reason_patient incarcerated,0.0,categorical
cat__reason_other,0.0,categorical
cat__reason_Institutional review board request,0.0,categorical
cat__reason_Initiation Of Protocol-Prohibited Approved PCSK9 Inhibitor,0.0,categorical
cat__reason_Informed consent not signed,0.0,categorical
cat__reason_Informed Consent Recalled by Participant,0.0,categorical
cat__reason_Ineligible,0.0,categorical
cat__arm_id_FG030,0.0,categorical
cat__reason_Ineligibility Determined,0.0,categorical
cat__reason_Increased blood pressure,0.0,categorical
cat__reason_Increased Calcitonin,0.0,categorical
cat__reason_Increase CR from Baseline,0.0,categorical
cat__reason_Incorrectly Randomized,0.0,categorical
cat__reason_Incorrect randomization (not treated),0.0,categorical
cat__reason_Investigator decision,0.0,categorical
cat__reason_Investigator dec./not protocol-related,0.0,categorical
cat__reason_Investigator Stopped Study at Site,0.0,categorical
cat__reason_not treated,0.0,categorical
cat__reason_non-compliance with study procedures,0.0,categorical
cat__reason_non-compliance,0.0,categorical
cat__arm_id_FG029,0.0,categorical
cat__reason_missing treatment disposition pages,0.0,categorical
cat__reason_metformin titrated <1500 mg or >2000 mg,0.0,categorical
cat__reason_lack of motivation,0.0,categorical
cat__reason_responder at visit 4,0.0,categorical
cat__reason_requirement for restricted medication,0.0,categorical
cat__reason_refuse of hospital visit,0.0,categorical
cat__reason_received a kidney transplant,0.0,categorical
cat__reason_reason unspecified,0.0,categorical
cat__reason_randomized in error,0.0,categorical
cat__reason_randomized but not treated,0.0,categorical
cat__reason_questionnaire result not evaluated,0.0,categorical
cat__reason_protocol specific treatment unrelated,0.0,categorical
cat__reason_Abnormal aPPT Levels,0.0,categorical
cat__reason_poor/non-compliance,0.0,categorical
cat__reason_patient scheduled for elective surgery,0.0,categorical
cat__reason_patient moved,0.0,categorical
cat__reason_withdrew prior to dosing,0.0,categorical
cat__reason_withdrawn consent,0.0,categorical
cat__reason_were not scanned,0.0,categorical
cat__reason_use of commercial drug instead of study,0.0,categorical
cat__reason_unclassified,0.0,categorical
cat__reason_unable to collect blood and/or breath,0.0,categorical
cat__reason_treated for 1 day; missing status/reason,0.0,categorical
cat__reason_surgery cancellation,0.0,categorical
cat__reason_supply problems,0.0,categorical
cat__reason_subject no longer meets study criteria,0.0,categorical
cat__reason_sponsor decision,0.0,categorical
cat__reason_Abnormal Test Procedure Result(s),0.0,categorical
cat__reason_site error,0.0,categorical
cat__reason_site closing,0.0,categorical
cat__reason_scans could not be evaluated,0.0,categorical
cat__period_title_30 Days Post-Procedure,0.0,categorical
cat__reason_Incorrect Enrolment,0.0,categorical
cat__reason_Incorrect Enrollment,0.0,categorical
cat__reason_Inclusion/exclusion criteria not met,0.0,categorical
cat__reason_Inclusion/Exclusion Criteria Not Met,0.0,categorical
cat__reason_Incarcerated,0.0,categorical
cat__reason_Impossible to determine HbA1c,0.0,categorical
cat__reason_Implant Not Attempted,0.0,categorical
cat__reason_Implant Attempt Unsuccessful,0.0,categorical
cat__reason_Immobilization Stopped,0.0,categorical
cat__reason_IRB's rejection etc.,0.0,categorical
cat__reason_Insulin Dropped Below Authorized Dose,0.0,categorical
cat__reason_Insufficient therapeutic effect,0.0,categorical
cat__reason_Insufficient Therapeutic Response,0.0,categorical
cat__reason_ID: Benefit/Risk Judgment,0.0,categorical
cat__reason_ICF Withdrawn,0.0,categorical
cat__reason_Hypotension (non-symptomatic),0.0,categorical
cat__reason_Hypoglycaemic events,0.0,categorical
cat__reason_Hypoglycaemia/Hypoglycemia,0.0,categorical
