priority_rank,trial_id,reason,period_title,arm_id,predicted_graph_weight,risk_percentile,risk_tier,action_hint,intervention_plan,queue_date,due_date,owner,status,outreach_channel,followup_outcome,notes
1688,NCT00489541,No 9-Month Angiography Performed,9-Month Angiographic Follow-up,FG001,0.069113783146746,0.9250788293289516,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
1689,NCT02110901,Withdrawal by Subject,Overall Study,FG000,0.0690577547409722,0.9250344184394014,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
1690,NCT01676116,Withdrawal criteria,Overall Study,FG001,0.0690568961976578,0.9249900075498512,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
1691,NCT02924064,Protocol Violation,Overall Study,FG001,0.0688652042703274,0.9249455966603012,high,Reinforce site protocol training and participant instruction clarity.,Reinforce site protocol training and participant instruction clarity.,2026-02-06,2026-02-13,,new,,,
1692,NCT03548935,Lost to Follow-up,Overall Study,FG001,0.0688629534714087,0.924901185770751,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
1693,NCT02558231,Physician Decision,Overall Study,FG001,0.0688581661117063,0.9248567748812008,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
1694,NCT00252694,Withdrawal by Subject,Overall Study,FG000,0.0688328359259027,0.9248123639916508,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
1695,NCT01590771,Withdrawal by Subject,Overall Study,FG001,0.0687350570864719,0.9247679531021006,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
1696,NCT00877890,Withdrawal of Consent,Overall Study,FG001,0.0686849825068155,0.9247235422125504,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
1697,NCT00501059,Lost to Follow-up,Overall Study,FG000,0.0686580060006645,0.9246791313230004,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
1698,NCT02073682,PD: Inconvenience of Dosing,Overall Study,FG000,0.0686096022609614,0.9246347204334504,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
1699,NCT00789737,Lost to Follow-up,Overall Study,FG001,0.0685924835076749,0.9245903095439002,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
1700,NCT00202878,Only Vital Status Known,Overall Study,FG001,0.0685266954535119,0.92454589865435,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
1701,NCT03376789,Withdrawal by Subject,Overall Study,FG001,0.0685099305426389,0.9245014877648,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
1702,NCT01472185,Subject Noncompliance,Overall Study,FG001,0.0683816324593344,0.9244570768752498,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
1703,NCT00910429,Adverse Event,Overall Study,FG001,0.0682921066315576,0.9244126659856996,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
1704,NCT02164864,Other Adverse Event (AE),Overall Study,FG000,0.0682280811633431,0.9243682550961496,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
1705,NCT00097786,lost to follow-up for all-cause death,Overall Study,FG002,0.0682087759081745,0.9243238442065994,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
1706,NCT00536744,Adverse Event,Overall Study,FG001,0.0681892740745238,0.9242794333170492,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
1707,NCT00849017,Withdrawal by Subject,Treatment Period (156 Weeks),FG002,0.0681820520247916,0.9242350224274992,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
1708,NCT01392573,Withdrawal Criteria,Overall Study,FG001,0.0681283988513392,0.9241906115379492,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
1709,NCT00661999,Withdrawal by Subject,Overall Study,FG001,0.0681148402222718,0.924146200648399,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
1710,NCT02926937,At the Participant's own Request,Overall Study,FG002,0.0681047840041369,0.9241017897588488,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
1711,NCT02546323,Adverse Event,Overall Study,FG001,0.0680735246142163,0.9240573788692988,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
1712,NCT00782340,Adverse Event,Open Label Titration,FG000,0.0680643487073809,0.9240129679797486,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
1713,NCT00097786,lost to follow-up for all-cause death,Overall Study,FG003,0.0680519235699603,0.9239685570901984,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
1714,NCT00358215,Adverse Event,Overall Study,FG001,0.0680478814471131,0.9239241462006484,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
1715,NCT00661999,Other Reasons,Overall Study,FG002,0.068042007217748,0.9238797353110982,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
1716,NCT02412878,Withdrawal by Subject,Overall Study,FG001,0.0680395349049207,0.923835324421548,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
1717,NCT00866658,Adverse Event,Overall Study,FG001,0.0679583527663392,0.923790913531998,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
1718,NCT02229396,Other,Overall Study,FG002,0.0679546607171329,0.923746502642448,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
1719,NCT01131676,Other than those specified,Discontinuation From Treatment,FG001,0.06795281493248,0.923702091752898,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
1720,NCT04760626,Lost to Follow-up,Overall Study,FG000,0.0679472803671428,0.9236576808633477,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
1721,NCT00358215,Participant request,Overall Study,FG000,0.0679143178124702,0.9236132699737976,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
1722,NCT01045707,Withdrawal Criteria,Main: Week 0 to 26 (NN5401-3590),FG000,0.0678562552583432,0.9235688590842476,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
1723,NCT00781937,Adverse Event,Main Trial Period Through Week 56,FG001,0.067816178218234,0.9235244481946974,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
1724,NCT03682185,Lost to Follow-up,Overall Study,FG003,0.0678031795191072,0.9234800373051472,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
1725,NCT02666664,Withdrawal by participant,Overall Study,FG001,0.0678011809314582,0.9234356264155972,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
1726,NCT01976312,Withdrawal by Subject,Overall Study,FG000,0.0678005574727777,0.923391215526047,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
1727,NCT03682185,Lost to Follow-up,Overall Study,FG001,0.0677905333995239,0.9233468046364968,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
1728,NCT01952145,Withdrawal Criteria,Overall Study,FG000,0.0677900921732088,0.9233023937469468,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
1729,NCT03682185,Withdrawal by Subject,Overall Study,FG000,0.0677835072374405,0.9232579828573968,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
1730,NCT02017171,Death,Overall Study,FG000,0.0677655314363095,0.9232135719678464,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
1731,NCT02943785,Did not receive any study medication,Overall Study,FG000,0.0677413908279265,0.9231691610782964,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
1732,NCT00781937,Adverse Event,Main Trial Period Through Week 56,FG000,0.0676929655905554,0.9231247501887464,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
1733,NCT01618162,Unclassified,Overall Study,FG000,0.067677440100763,0.9230803392991962,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
1734,NCT01557166,Withdrawn consent,Overall Study,FG000,0.0676605919101479,0.923035928409646,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
1735,NCT00044213,Withdrawal by Subject,Overall Study,FG000,0.0676599708922321,0.922991517520096,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
1736,NCT03682185,Withdrawal by Subject,Overall Study,FG002,0.0676545327878571,0.9229471066305458,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
1737,NCT00309244,Withdrawal by Subject,Overall Study,FG001,0.0676198239432638,0.9229026957409956,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
1738,NCT01890421,Other reason,Overall Study,FG000,0.0676033484330555,0.9228582848514456,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
1739,NCT03551496,Withdrawal by Subject,Overall Study,FG001,0.0675380863088393,0.9228138739618954,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
1740,NCT00708435,Death / Serious Adverse Event,Overall Study,FG000,0.0675333182576191,0.9227694630723452,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
1741,NCT00849056,Adverse Event,Treatment Period (TP) (156 Weeks),FG001,0.0674782028362202,0.9227250521827952,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
1742,NCT01623115,Last visit outside protocol visit window,Overall Study,FG000,0.067404418601304,0.9226806412932452,high,Reinforce site protocol training and participant instruction clarity.,Reinforce site protocol training and participant instruction clarity.,2026-02-06,2026-02-13,,new,,,
1743,NCT00553267,Adverse Event,Overall Study,FG001,0.0673680428400469,0.922636230403695,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
1744,NCT00712673,Adverse Event,Overall Study,FG003,0.0672409138616369,0.9225918195141448,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
1745,NCT04707469,Lost to Follow-up,Overall Study,FG001,0.0672333499653075,0.9225474086245948,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
1746,NCT00116831,Withdrawal by Subject,Overall Study,FG001,0.0672271059701488,0.9225029977350446,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
1747,NCT01631227,withdrawn consent,Overall Study,FG001,0.0671986166531646,0.9224585868454944,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
1748,NCT00168818,Adverse Event,Overall Study,FG002,0.0671923565479735,0.9224141759559444,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
1749,NCT00168818,Other,Treatment,FG002,0.0671724203342632,0.9223697650663942,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
1750,NCT00056160,Adverse Event,Up to Unblinding (07 Jun 2005),FG001,0.0671590136150496,0.922325354176844,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
1751,NCT02161562,Withdrawal by Subject,Overall Study,FG001,0.0671365567678489,0.922280943287294,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
1752,NCT00116831,Withdrawal by Subject,Overall Study,FG000,0.0670858925942261,0.922236532397744,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
1753,NCT01850524,Lost to Follow-up,Overall Study,FG001,0.0670071494981845,0.922192121508194,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
1754,NCT00479882,Clinical Adverse Event,Precrossover: Periods I/II (Weeks 1-12),FG001,0.0669881189327679,0.9221477106186436,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
1755,NCT02833948,scans could not be evaluated,Overall Study,FG000,0.066958152115883,0.9221032997290936,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
1756,NCT00657150,Adverse Event,Overall Study,FG000,0.0669508315179734,0.9220588888395436,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
1757,NCT00082381,Adverse Event,Overall Study,FG000,0.0669197815822618,0.9220144779499934,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
1758,NCT01364428,Withdrawal Criteria,Overall Study,FG000,0.0668508856792126,0.9219700670604432,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
1759,NCT00839527,Withdrawal by Subject,Follow-up Period (FUP) (8 Weeks),FG001,0.0668329246600396,0.9219256561708932,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
1760,NCT04660643,Lost to Follow-up,Double-blind Study Period (Week 36 - 92),FG001,0.066823570815248,0.921881245281343,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
1761,NCT02884206,Patient/guardian decision,Double-Blind Period,FG001,0.0667980024945536,0.9218368343917928,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
1762,NCT00809965,Withdrawal by Subject,Overall Study,FG000,0.0667796526362203,0.9217924235022428,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
1763,NCT00856284,Adverse Event,Overall Study,FG001,0.0667354544051487,0.9217480126126928,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
1764,NCT02561078,Withdrawal by Subject,Overall Study,FG001,0.0666683222841071,0.9217036017231424,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
1765,NCT04660643,Protocol deviation,Open-label Lead-in Period (Week 0 - 36),FG000,0.0666431741929266,0.9216591908335924,high,Reinforce site protocol training and participant instruction clarity.,Reinforce site protocol training and participant instruction clarity.,2026-02-06,2026-02-13,,new,,,
1766,NCT00044213,Death,Overall Study,FG003,0.0665842570360714,0.9216147799440424,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
1767,NCT00097786,lost to follow-up for all-cause death,Overall Study,FG000,0.0665838970164582,0.9215703690544922,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
1768,NCT02733185,Withdrawal by Subject,Overall Study,FG000,0.0665736019965971,0.921525958164942,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
1769,NCT03988634,Lost to Follow-up,Double-Blind,FG001,0.0665674296523214,0.921481547275392,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
1770,NCT00622284,Lack of Efficacy,Overall Study,FG001,0.0665559929853941,0.9214371363858418,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
1771,NCT01624259,Adverse Event,Overall Study,FG001,0.0665337216307134,0.9213927254962916,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
1772,NCT02226120,Withdrawal by parent/guardian,Overall Study,FG000,0.066459314242251,0.9213483146067416,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
1773,NCT01624259,Adverse Event,Overall Study,FG000,0.0664084936694931,0.9213039037171916,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
1774,NCT03439254,Withdrawal by Subject,Double-blind Phase (18 Months),FG000,0.0663831268533829,0.9212594928276412,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
1775,NCT03439254,Adverse Event,Double-blind Phase (18 Months),FG001,0.066363597464752,0.9212150819380912,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
1776,NCT03988634,Adverse Event,Open-Label,FG002,0.0663434336323611,0.9211706710485412,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
1777,NCT00695955,Other,Cohort 1,FG000,0.0663342119559424,0.921126260158991,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
1778,NCT00479882,Clinical Adverse Event,Precrossover: Periods I/II (Weeks 1-12),FG002,0.0663040866172321,0.9210818492694408,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
1779,NCT01555164,Subject Non-compliance,Overall Study,FG000,0.0662768357823403,0.9210374383798908,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
1780,NCT04929249,Subject decision,Overall Study,FG000,0.0662748447867361,0.9209930274903406,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
1781,NCT03888066,AE (Adverse Event),Run-in Phase,FG000,0.0662677782242559,0.9209486166007904,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
1782,NCT03332771,Reason Not Specified,Overall Study,FG002,0.0662511665606151,0.9209042057112404,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
1783,NCT00439777,Study terminated by sponsor,Treatment Period,FG001,0.0662474368316965,0.9208597948216902,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
1784,NCT00797862,Adverse Event,Overall Study,FG001,0.0662102587110299,0.92081538393214,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
1785,NCT02164864,Other Adverse Event (AE),Overall Study,FG002,0.0660674073834027,0.92077097304259,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
1786,NCT02307513,Adverse Event,Active Treatment Phase (Weeks 13-64),FG000,0.0660494253980356,0.9207043567082648,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
1787,NCT02307513,Adverse Event,Placebo Controlled Phase (Weeks 0-12),FG000,0.0660494253980356,0.9207043567082648,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
1788,NCT00689936,Miscellaneous,Active Treatment Phase,FG001,0.0659869624382061,0.9206377403739396,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
1789,NCT00097786,lost to follow-up for all-cause death,Overall Study,FG001,0.0659577726813987,0.9205933294843897,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
1790,NCT02307513,Withdrawal by Subject,Placebo Controlled Phase (Weeks 0-12),FG001,0.0658739457350595,0.9205489185948394,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
1791,NCT02892149,Withdrawal by Subject,Overall Study,FG000,0.0658645241890773,0.9205045077052894,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
1792,NCT01539083,Death,Before Randomization (VCD Induction),FG000,0.0658531677870536,0.9204600968157391,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
1793,NCT01644175,Poor compliance to protocol,Overall Study,FG001,0.0658325541908919,0.920415685926189,high,Reinforce site protocol training and participant instruction clarity.,Reinforce site protocol training and participant instruction clarity.,2026-02-06,2026-02-13,,new,,,
1794,NCT00763451,Adverse Event,Overall Study,FG002,0.0658172798023737,0.920371275036639,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
1795,NCT00358215,Participant request,Overall Study,FG001,0.0657679947710416,0.9203268641470888,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
1796,NCT03585270,Withdrawal by Subject,Overall Study,FG001,0.0657444458675001,0.9202824532575388,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
1797,NCT01984424,Withdrawal by Subject,Overall Study,FG001,0.0657119646481944,0.9202380423679888,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
1798,NCT00295633,Withdrawal of consent by subject,Overall Study,FG002,0.0657075308343352,0.9201936314784384,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
1799,NCT02916706,Protocol Violation,Overall Study,FG000,0.0657003025389205,0.9201492205888884,high,Reinforce site protocol training and participant instruction clarity.,Reinforce site protocol training and participant instruction clarity.,2026-02-06,2026-02-13,,new,,,
1800,NCT00174785,Withdrawal by Subject,Overall Study,FG000,0.0656985885822519,0.9201048096993384,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
1801,NCT04740931,Lost to Follow-up,Part 2 (Week 24 to Week 72),FG001,0.0656922088401289,0.9200603988097882,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
1802,NCT00174785,Withdrawal by Subject,Overall Study,FG001,0.0656660934128851,0.920015987920238,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
1803,NCT00358215,Protocol Violation,Overall Study,FG000,0.0656621077192559,0.919971577030688,high,Reinforce site protocol training and participant instruction clarity.,Reinforce site protocol training and participant instruction clarity.,2026-02-06,2026-02-13,,new,,,
